,Date,Population
46,1/1/1966,791000
47,1/1/1967,791000
48,1/1/1968,778000
49,1/1/1969,762000
50,1/1/1970,756668
51,1/1/1971,749781
52,1/1/1972,742241
53,1/1/1973,731488
54,1/1/1974,717947
55,1/1/1975,706871
56,1/1/1976,692295
57,1/1/1977,677228
58,1/1/1978,665052
59,1/1/1979,650016
60,1/1/1980,638284
61,1/1/1981,636893
62,1/1/1982,634174
63,1/1/1983,632433
64,1/1/1984,633382
65,1/1/1985,634549
66,1/1/1986,638269
67,1/1/1987,636930
68,1/1/1988,630432
69,1/1/1989,624168
70,1/1/1990,605321
71,1/1/1991,600870
72,1/1/1992,597565
73,1/1/1993,595301
74,1/1/1994,589239
75,1/1/1995,580517
76,1/1/1996,572377
77,1/1/1997,567736
78,1/1/1998,565230
79,1/1/1999,570213
80,1/1/2000,572046
81,1/1/2001,574504
82,1/1/2002,573158
83,1/1/2003,568502
84,1/1/2004,567754
85,1/1/2005,567136
86,1/1/2006,570681
87,1/1/2007,574404
88,1/1/2008,580236
89,1/1/2009,592228
90,1/1/2010,605210
91,1/1/2011,620427
92,1/1/2012,635040
93,1/1/2013,649111
94,1/1/2014,658893
95,1/1/2015,672228
